T32013,T32011,T32010,T32014,T32008,T32006,T32004,T32001,T32012,T32005,T32009,T32002,T32003,origin_address
1247,1260,2056,1842,917,1164,535,1394,571,413,2171,2892,692,"31 Front St, Salem, MA 01970, USA"
1559,1335,1931,2153,609,1040,609,1086,882,724,2047,2664,433,"51 Charter St, Salem, MA 01970, USA"
1812,1588,2053,2406,443,1281,863,920,1135,977,2288,2498,259,"223-231 Derby St, Salem, MA 01970, USA"
2054,1886,2417,2649,547,1591,1160,756,1377,1220,2598,2335,623,"1 Derby Wharf, Salem, MA 01970, USA"
2130,2335,2866,2724,623,2040,1610,694,1453,1295,3048,2277,1072,"1A Daniels St Ct, Salem, MA 01970, USA"
2529,2734,3265,3714,1021,2439,2009,0,2443,1694,3446,2100,1471,"10 Blaney St, Salem, MA 01970, USA"
2612,2817,3348,3797,1104,2522,2091,122,2526,1777,3529,2183,1554,"10 Blaney St, Salem, MA 01970, USA"
517,906,3210,437,2201,2319,1502,2678,1225,1138,3326,4193,1900,"93 Mason St, Salem, MA 01970, USA"
418,807,3111,683,2102,2219,1403,2579,1126,1039,3227,4094,1801,"72 Flint St, Salem, MA 01970, USA"
431,819,2868,1002,1859,1976,1150,2336,741,654,2984,3709,1558,"11 Lynn St, Salem, MA 01970, USA"
592,981,2854,1163,1846,1963,1136,2322,1021,987,2970,3647,1544,"91 Federal St, Salem, MA 01970, USA"
849,1151,2405,1400,1353,1513,614,1830,517,474,2521,3134,1052,"21 Lynde St, Salem, MA 01970, USA"
1110,1457,2792,1940,601,1901,732,1614,669,383,2908,2726,961,"1 Salem Green SUITE 103, Salem, MA 01970, USA"
1395,1537,2624,1906,433,1733,811,1446,634,560,2740,2558,793,"Salem Armory Regional Visitor Park, 136 Essex St, Salem, MA 01970, USA"
1642,1830,2360,2236,134,1534,1104,1021,965,807,2542,2246,566,"103 Essex St, Salem, MA 01970, USA"
1816,2021,2552,2410,308,1726,1295,778,1139,981,2733,2071,758,"67 Essex St, Salem, MA 01970, USA"
2277,2483,3013,2872,770,2188,1757,395,1600,1443,3195,2076,1219,"117 Derby St, Salem, MA 01970, USA"
