,Peabody Essex Museum,Salem Witch Museum,The Satanic Temple at Salem Art gallery,Bewitched Statue,Witch House,Salem Maritime National Historic Site,The House of the Seven Gables,Salem Willows Park,Witch Dungeon Museum,Salem Willows Arcade,Joshua Ward House,Count Orlok’s Nightmare Gallery,Black Veil Shoppe of Drear & Wonder,Crow Haven Corner,Herb Mackey’s Metal Sculpture Yard,Harbor Sweets,Salem Witch Board Museum,New England Pirate Museum,Salem Witch Trials Memorial,witch city mall,Historic New England Phillips House,Pickering Wharf
24,0.5109149307709082,0.5615948106107214,0.7583973896841074,0.4640939250305732,0.3663357811771265,0.5664827178033937,0.791326448666321,0.8713337716621681,0.4718116732295295,0.8713337716621682,0.42576244230909016,0.4669237660368572,0.1435501165005875,0.5404996322002407,0.66784247748302,0.635685193320702,0.48133022934157565,0.4674382825834542,0.5842335386609931,0.4563761768316169,0.17210578483672587,0.4424842300734955
25,0.5091141228578184,0.5597940026976316,0.7568538400443161,0.4625503753907819,0.36479223153733525,0.5649391681636025,0.7897828990265298,0.869790222022377,0.43065034950176245,0.8697902220223769,0.4242188926692989,0.46538021639706595,0.20014693662626715,0.5389560825604495,0.6662989278432287,0.6341416436809107,0.4797866797017844,0.46589473294366296,0.582689989021202,0.4548326271918256,0.17056223519693461,0.44094068043370427
26,0.46409392503057323,0.5147738048703864,0.7115763839437724,0.4172729192902382,0.3195147754367915,0.5196617120630587,0.7445054429259861,0.8245127659218332,0.3853728934012187,0.8245127659218332,0.3789414365687552,0.4201027602965222,0.22304292294983755,0.49367862645990573,0.621021471742685,0.4504592365457504,0.43450922360124067,0.4206172768431192,0.5374125329206583,0.40955517109128187,0.15255415606603653,0.39566322433316053
27,0.36685029772372363,0.4175301775635367,0.6145900149102214,0.3300623646420318,0.2747518358828449,0.4226753430295076,0.647519073892435,0.7272691386149837,0.29816233875301235,0.7275263968882821,0.2847849085414881,0.37533982074257555,0.33263494737501725,0.39669225742635467,0.5240351027091339,0.3791986948420537,0.3375228545676896,0.3233736495362697,0.44042616388710715,0.3223446164430755,0.2091509761917162,0.29841959702631093
28,0.3390664042074809,0.389746284047294,0.5868061213939786,0.3025357293990876,0.3040792790388789,0.3948914495132649,0.6197351803761922,0.6997425033720395,0.27063570351006816,0.6997425033720394,0.2572582732985439,0.313597835150925,0.4229326013028062,0.36890836391011195,0.4962512091928912,0.351414801325811,0.3097389610514469,0.2958470142933255,0.41264227037086443,0.2948179812001313,0.22304292294983757,0.27089296178336675
29,0.31025347759804395,0.3609333574378571,0.5579931947845417,0.3357220466545998,0.33726559629439107,0.366078522903828,0.5909222537667553,0.670672318489304,0.3038220207655803,0.6709295767626025,0.23359051215507787,0.30485105385877453,0.5798601480149179,0.34009543730067504,0.46743828258345427,0.1358323683016312,0.2809260344420099,0.26677682941059,0.3838293437614275,0.3063946034985658,0.3555309336985877,0.24208003517392981
30,0.27089296178336675,0.3215728416231799,0.518375420696566,0.296104272566624,0.29790508047971387,0.3267180070891508,0.5513044796787796,0.6313118026746267,0.26420424667760456,0.6315690609479252,0.1939727380671021,0.2652332797707988,0.5402423739269422,0.30047766321269925,0.4278205084954785,0.096471852486954,0.2413082603540342,0.22741631359591277,0.34421156967345173,0.2670340876838886,0.3159131596106119,0.20246226108595405
31,0.2307606711487939,0.281440550988607,0.4785003883352916,0.38923176750069693,0.37662611210906827,0.28658571645457787,0.5111721890442067,0.5911795120400538,0.342925278306959,0.5914367703133524,0.272436511423158,0.2688348955969784,0.6189634055562966,0.260602630851425,0.3876882178609056,0.04167584027436416,0.20117596971946133,0.18728402296133995,0.32388816608286675,0.3066518617718643,0.39463419123996635,0.16618884455085936
32,0.5664827178033937,0.6359424515940005,0.6994852450987408,0.5006245998389665,0.3995220984326387,0.6410876170599714,0.8659313479228987,0.9459386709187458,0.42756325022217995,0.945938670918746,0.45894875956460235,0.4998528250190708,0.09930169349323795,0.6151045314568184,0.7424473767395976,0.7102900925772797,0.5492464134923912,0.5417859235667335,0.6588384379175709,0.49290685164001014,0.2168687243906725,0.5170891293300732
33,0.4442850379865853,0.49496491782639845,0.692024755173083,0.39772129051954885,0.29970588839280365,0.5001100832923693,0.7249538141552967,0.8047038788778453,0.3658212646305294,0.8049611371511438,0.35938980779806584,0.4002938732525343,0.13506059348173555,0.4741269976892164,0.6014698429719956,0.4957366926462941,0.4147003365572528,0.40080838979913136,0.5178609041499689,0.39000354232059253,0.10573315032570157,0.3758543372891726
