Peabody Essex Museum,Salem Witch Museum,The Satanic Temple at Salem Art gallery,Bewitched Statue,Witch House,Salem Maritime National Historic Site,The House of the Seven Gables,Salem Willows Park,Witch Dungeon Museum,Salem Willows Arcade,Joshua Ward House,Count Orlok’s Nightmare Gallery,Black Veil Shoppe of Drear & Wonder,Crow Haven Corner,Herb Mackey’s Metal Sculpture Yard,Harbor Sweets,Salem Witch Board Museum,New England Pirate Museum,Salem Witch Trials Memorial,witch city mall,Historic New England Phillips House,Pickering Wharf
1028,712,1086,1180,1782,698,985,2139,1678,2165,1313,1120,3540,804,600,1914,987,1056,991,1001,2180,1048
718,775,1199,1227,1472,388,682,1797,1368,1824,1003,810,3424,654,290,1604,678,746,681,1047,1870,899
999,989,1309,1457,1752,668,501,1763,1649,1789,1283,1091,3763,979,226,1884,958,1027,961,1277,2151,1325
1297,1287,1607,1755,2050,966,1064,1385,1947,1412,1581,1388,4061,1277,725,2182,1256,1325,1259,1575,2448,1623
2273,2540,2837,1975,1837,2779,3631,4787,1582,4814,1834,1959,1595,2272,3081,3030,2297,2385,2733,2087,1670,2281
2008,2275,2571,1710,1571,2514,3365,4522,1317,4548,1569,1693,1859,2006,2815,2764,2031,2120,2467,1822,1404,2016
1711,1978,2275,1413,1275,2217,3069,4225,1021,4252,1272,1397,2359,1710,2519,2468,1735,1823,2171,1525,1108,1720
1612,1879,2175,1314,1175,2117,2969,4126,921,4152,1173,1297,2259,1610,2419,2368,1635,1724,2071,1426,1008,1620
1340,1631,1928,879,928,1683,2663,3878,674,3905,1136,1260,2297,1430,2161,2353,1364,1452,1477,1056,1156,1604
619,520,816,790,929,746,1551,2701,728,2728,967,774,2704,579,1365,1589,643,731,992,636,1834,856
589,490,628,958,1406,572,1171,2186,1302,2213,937,744,2957,519,785,1559,613,701,818,778,1804,826
1114,1104,1424,1572,1867,783,1177,1582,1764,1608,1398,1206,3878,1094,685,2000,1073,1142,1076,1392,2266,1295
1347,1338,1657,1805,2100,1017,1114,1466,1997,1493,1632,1439,4111,1327,775,2233,1306,1375,1309,1626,2499,1673
2282,2549,2845,1984,1846,2788,3639,4796,1591,4823,1843,1968,1786,2281,3090,3039,2306,2394,2742,2096,1679,2290
2044,2311,2607,1746,1607,2549,3401,4557,1353,4584,1605,1729,2066,2042,2851,2800,2067,2155,2503,1858,1440,2052
1899,2166,2463,1601,1463,2405,3257,4413,1209,4440,1460,1585,2109,1898,2707,2656,1923,2011,2359,1713,1296,1907
1888,2179,2475,1426,1475,2230,3210,4425,1221,4452,1702,1826,2845,1977,2708,2898,1911,1999,2601,1603,1538,2149
929,830,640,916,1056,927,1495,2510,855,2536,1276,1083,2831,874,1173,1899,952,1040,1173,763,1607,1165
823,724,376,1192,1639,821,1389,2404,1133,2431,1170,978,3108,768,1003,1793,846,935,1067,1012,2038,1060
1100,1000,465,1468,1916,1134,1422,2373,1812,2399,1447,1254,3488,990,1036,2070,1424,1493,1427,1289,2314,1336
1209,1199,1519,1667,1962,878,1272,1413,1859,1440,1493,1301,3973,1189,780,2095,1168,1237,1171,1487,2361,1390
1334,1325,1644,1793,2088,1004,1293,1139,1984,1165,1619,1426,4099,1315,954,2220,1293,1362,1297,1613,2486,1515
