,T32001,T32002,T32003,T32004,T32005,T32006,T32008,T32009,T32010,T32011,T32012,T32013,T32014
10,0.6907816615811047,0.9560207270584296,0.5333783593047995,0.34750008777247937,0.5159769892039014,0.6119481818815816,0.589273669325866,0.42369699624459356,0.7809523975584856,0.23360021074841938,0.5093855611353795,0.40128614081161884,0.3720202001873812
11,0.6182759528273627,0.8835150183046876,0.46087265055105764,0.27499437901873747,0.44347128045015954,0.5394424731278398,0.516767960572124,0.35119128749085166,0.7084466888047436,0.3451271736678115,0.43687985238163757,0.4969936763665581,0.4788013348974374
12,0.63541366580552,0.9006527312828448,0.4780103635292148,0.2921320919968946,0.4606089934283167,0.5565801861059969,0.5339056735502813,0.35540980145470574,0.7255844017829007,0.3622648866459687,0.45401756535979476,0.5141313893447154,0.4959390478755946
13,0.5523616721421428,0.8173370804967268,0.3949583698658377,0.2056525557378861,0.3775569997649396,0.2175171262612257,0.45085367988690417,0.19273335672358302,0.4503263656414224,0.5426063586007304,0.36859265759174975,0.6145847531089904,0.6604610924659036
14,0.5473521868100661,0.8123275951646501,0.34196328819492094,0.2726214649140696,0.4360888810134149,0.09280730720478964,0.4458441945548275,0.12075496221532286,0.17559564374542586,0.6011382398492056,0.4273881959629659,0.6731166343574657,0.7189929737143788
15,0.4964663621210763,0.7614417704756604,0.2910774635059311,0.35250957310455605,0.38520305632442514,0.04192148251579986,0.3946947127430968,0.05721359563477091,0.11179062004213297,0.5502524151602158,0.3762387141512353,0.622230809668476,0.668107149025389
16,0.4943571051391493,0.7593325134937334,0.273939750527774,0.37702968551945787,0.44347128045015954,0.10018970664153426,0.4128870542122175,0.11073599155116945,0.10809942032376063,0.6085206392859502,0.4347705953997105,0.6804990337942104,0.7263753731511234
17,0.6847175477580645,0.9496929561126485,0.5721359563477089,0.39548568411131946,0.499366590471226,0.6599337782204218,0.5829458983800848,0.5418153872325077,0.8292016510200664,0.12470981905643608,0.4492717371504589,0.2923957491196355,0.2633934656181388
18,0.6886724045991777,0.9539114700765025,0.576090813188822,0.3620012295232277,0.5035851044350801,0.6264493236323301,0.587164412343939,0.43819813799534196,0.7957171964319747,0.12892833302029016,0.45349025111431296,0.2966142630834896,0.26761197958199284
19,0.5752998418205993,0.8405389072979242,0.41789653954429423,0.2320182680119741,0.40049516944339614,0.49646636212107637,0.4737918495653607,0.40392271203902763,0.665734234920721,0.3021510626610481,0.3939037413748742,0.45401756535979476,0.4360888810134149
20,0.4951480765073719,0.7603871419846969,0.33774477423106686,0.1487026172258561,0.3203434041301687,0.1603035306264548,0.3936400842521333,0.2499469523583539,0.30821517648408825,0.48539276296595946,0.31164271907971974,0.5576348145969604,0.6032474968311327
21,0.503848761557821,0.7688241699124051,0.28343140694644564,0.20802546984255404,0.3448635165450705,0.08041542243596828,0.42237871063088916,0.1787595292183164,0.23333655362567846,0.5099128753808613,0.33616283149462156,0.5821549270118622,0.6280312663687753
22,0.43925276648630546,0.7042281748408895,0.23386386787116026,0.2952959774697852,0.32798946068965423,0.0,0.3377447742310668,0.11442719126954176,0.16900421567690382,0.4930388195254449,0.31928877563920527,0.565280871156446,0.6108935533906181
23,0.4355615667679331,0.7008006322452581,0.21540786927929867,0.3743931142920491,0.4070865975119181,0.06380502370329288,0.35435517296374225,0.16214913048564097,0.1629401018538636,0.5721359563477089,0.39838591246146915,0.644114350855969,0.6899906902128821
24,0.6280312663687753,0.8930066747233593,0.5154496749584198,0.3390630598447712,0.4429439662046778,0.6035111539538736,0.5265232741135366,0.7179383452234153,0.7725153696307774,0.06828719478988787,0.39284911288391067,0.258383980286062,0.14738433161215175
25,0.62644932363233,0.8914247319869141,0.5138677322219745,0.33721745998558506,0.4413620234682325,0.6019292112174283,0.5246776742543505,0.71635640248697,0.770933426894332,0.06670525205344258,0.39126717014746537,0.234391182116642,0.20512524149240438
26,0.5800456700299352,0.8450210783845192,0.3962766554795421,0.21039838394722193,0.39495836986583766,0.47484647805632424,0.4785376777746965,0.589273669325866,0.643850693733228,0.09017073597738084,0.3448635165450706,0.25785666604058033,0.22885438253908355
27,0.48038327763388267,0.7456223431112077,0.3229799753575776,0.13710170382525738,0.30557860525667946,0.4015497979343597,0.37887528537864407,0.5159769892039014,0.5708176707340045,0.2072344984743314,0.29898717718815754,0.3591010011730781,0.3411723168266983
28,0.45217196550060856,0.7171473738551927,0.29476866322430345,0.10862673456924243,0.27710363600066445,0.3733384858010856,0.35040031612262906,0.48776567707062735,0.5423427014779894,0.2997781485563802,0.2684029509502155,0.41262339708947665,0.43345230978600613
29,0.42264236775363007,0.6876177761082141,0.2172534691384848,0.23465483923938288,0.31111540483423794,0.10572650621909274,0.3208707183756505,0.2201536974886345,0.27473072189599657,0.47642842079276954,0.302414719783789,0.5484068153010296,0.5942831546579428
30,0.38203917085153455,0.6470145792061186,0.17691392935913025,0.2850133496828909,0.2707758650548834,0.05721359563477091,0.28053117859629595,0.17164078690431264,0.22621781131167473,0.4358252238906741,0.26207518000443436,0.5080672755216751,0.5539436148785881
31,0.34090865970395734,0.6058840680585414,0.12075496221532289,0.46957333560150666,0.3514549446135925,0.15845793076726866,0.2597022658997664,0.2568020375496168,0.25759300891783943,0.5165043034493833,0.34275425956314354,0.5887463550803842,0.6346226944372974
32,0.7044918319636304,0.9694672403182144,0.5919102405532748,0.4513809941323859,0.4682550499878022,0.7155654311187474,0.6027201825856509,0.83025627951103,0.884833303918392,0.20538889861514525,0.4186875109125169,0.21329861229737163,0.10203530650072046
